订单日期,品类,区域,销售额,数量
2026-03-01,食品,西南,1769.4,5
2026-03-01,食品,华中,2059.48,8
2026-03-02,家居,华北,2182.41,9
2026-03-02,数码,华东,4783.13,16
2026-03-02,家居,华南,3292.84,11
2026-03-02,数码,华中,3826.3,13
2026-03-03,服饰,华南,3280.01,13
2026-03-03,食品,华中,1999.3,6
2026-03-03,家居,华东,3007.2,8
2026-03-03,服饰,华东,3836.18,10
2026-03-04,服饰,西南,3712.8,12
2026-03-04,美妆,西南,2765.16,8
2026-03-04,食品,华北,1175.37,4
2026-03-05,服饰,华中,2420.01,9
2026-03-05,美妆,华北,2534.65,10
2026-03-05,服饰,华中,2786.31,11
2026-03-06,服饰,华中,4042.18,9
2026-03-06,食品,华北,1858.2,6
2026-03-06,食品,华中,2490.64,9
2026-03-07,食品,华南,2278.34,10
2026-03-07,服饰,华北,2437.7,11
2026-03-08,美妆,华南,2119.32,9
2026-03-08,家居,华北,4259.49,11
2026-03-08,数码,华北,4076.62,18
2026-03-09,家居,华南,3408.63,10
2026-03-09,食品,华北,1062.16,3
2026-03-09,美妆,华南,1676.92,5
2026-03-09,数码,华东,3364.3,10
2026-03-10,家居,西南,1608.09,5
2026-03-10,服饰,华南,3486.01,18
2026-03-10,数码,华南,5916.84,14
2026-03-11,食品,华东,1373.08,4
2026-03-11,食品,西南,1994.22,7
2026-03-11,美妆,华东,1636.9,8
2026-03-12,家居,华中,1886.54,4
2026-03-12,家居,西南,1047.23,3
2026-03-12,家居,华南,1701.45,7
2026-03-12,家居,华南,3259.86,7
2026-03-13,美妆,华中,883.17,3
2026-03-13,家居,华东,3568.87,11
2026-03-13,数码,华南,3772.33,14
2026-03-14,家居,华中,2141.97,6
2026-03-14,家居,华北,4148.14,11
2026-03-14,食品,华北,2416.47,7
2026-03-14,服饰,华中,5120.57,24
2026-03-15,食品,华南,1673.91,6
2026-03-15,服饰,西南,4256.64,15
2026-03-15,食品,华南,3473.39,15
2026-03-16,数码,西南,4224.81,22
2026-03-16,家居,华中,3300.5,10
2026-03-16,数码,华南,4479.34,11
2026-03-16,美妆,华东,2155.39,10
2026-03-17,食品,华东,1298.37,5
2026-03-17,美妆,华中,2958.17,13
2026-03-17,食品,西南,1894.28,4
2026-03-18,家居,华北,1852.99,6
2026-03-18,服饰,华东,2509.22,8
2026-03-19,服饰,华北,2844.05,9
2026-03-19,美妆,华南,2031.84,6
2026-03-19,食品,西南,1180.68,4
2026-03-20,服饰,华中,3525.2,9
2026-03-20,家居,华东,1942.61,10
2026-03-21,家居,西南,2306.8,8
2026-03-21,食品,华南,1155.95,4
2026-03-22,家居,华北,4107.7,14
2026-03-22,美妆,华东,2542.04,7
2026-03-23,美妆,华南,2983.54,9
2026-03-23,数码,华东,2214.64,7
2026-03-23,数码,华中,6098.06,21
2026-03-23,家居,华东,1186.27,5
2026-03-24,数码,华北,5285.64,13
2026-03-24,数码,华中,4480.57,19
2026-03-24,家居,西南,1631.14,4
2026-03-25,家居,华东,2925.14,10
2026-03-25,家居,华中,1777.02,4
2026-03-25,家居,西南,2529.33,6
2026-03-26,服饰,西南,2290.95,7
2026-03-26,食品,华中,2855.73,9
2026-03-26,服饰,华中,2743.12,10
2026-03-26,数码,华北,4564.33,17
2026-03-27,家居,华中,1521.45,4
2026-03-27,服饰,华东,1704.51,5
2026-03-28,数码,华南,6917.09,21
2026-03-28,美妆,华南,3733.51,14
2026-03-28,数码,西南,6378.45,18
2026-03-28,数码,华南,3691.7,11
2026-03-29,服饰,西南,4059.67,11
2026-03-29,食品,西南,3997.16,15
2026-03-29,美妆,华南,2090.49,6
2026-03-29,食品,华北,1956.93,10
2026-03-30,数码,华北,5761.35,14
2026-03-30,服饰,华东,3010.95,16
2026-03-30,服饰,西南,4123.57,21
2026-03-31,家居,华中,2121.81,6
2026-03-31,家居,华南,2344.95,10
2026-03-31,美妆,华中,2568.12,9
2026-03-31,家居,西南,2748.47,8
2026-04-01,服饰,华南,3826.96,9
2026-04-01,家居,西南,1629.48,5
2026-04-01,食品,西南,1520.53,4
2026-04-01,家居,华北,3060.85,10
2026-04-02,服饰,西南,2338.75,7
2026-04-02,家居,华北,3248.68,10
2026-04-02,家居,华东,3611.52,15
2026-04-02,美妆,西南,2444.08,9
2026-04-03,食品,华北,1654.46,4
2026-04-03,家居,华南,2370.73,5
2026-04-03,家居,华南,2495.4,12
2026-04-04,食品,华东,3330.94,15
2026-04-04,食品,华南,4208.35,12
2026-04-04,食品,西南,2129.29,7
2026-04-05,服饰,华南,4433.03,10
2026-04-05,服饰,华中,2013.75,6
2026-04-06,数码,华东,2213.7,5
2026-04-06,美妆,西南,2134.46,6
2026-04-07,数码,华中,5669.8,22
2026-04-07,家居,华南,3534.03,15
2026-04-07,数码,华南,4180.65,15
2026-04-08,服饰,西南,3643.15,9
2026-04-08,食品,西南,2092.8,10
2026-04-08,家居,华东,1289.32,3
2026-04-09,服饰,华中,3436.48,15
2026-04-09,数码,华北,5157.65,14
2026-04-09,食品,华东,3052.2,8
2026-04-10,服饰,西南,4149.08,10
2026-04-10,美妆,华北,1143.93,4
2026-04-10,家居,华中,3196.85,13
2026-04-10,服饰,华北,1273.38,3
2026-04-11,美妆,华东,1052.55,3
2026-04-11,美妆,华北,1644.32,7
2026-04-11,数码,华南,4229.87,15
2026-04-11,数码,华北,7873.08,20
2026-04-12,食品,华南,2488.12,11
2026-04-12,食品,华南,1961.24,9
2026-04-13,家居,华南,2093.61,6
2026-04-13,家居,西南,3343.75,14
2026-04-13,家居,华南,2328.66,7
2026-04-14,服饰,华北,2160.29,5
2026-04-14,美妆,华北,1744.8,6
2026-04-14,家居,西南,3603.64,12
2026-04-15,食品,华南,2589.67,9
2026-04-15,数码,华南,4319.24,21
2026-04-15,服饰,华东,4177.84,12
2026-04-16,美妆,华南,2134.0,6
2026-04-16,食品,华中,1877.03,7
2026-04-16,服饰,华北,2075.15,7
2026-04-17,美妆,华南,2180.84,7
2026-04-17,食品,西南,1898.82,8
2026-04-18,家居,华南,2418.94,11
2026-04-18,服饰,华南,2102.04,5
2026-04-18,服饰,华中,3983.98,21
2026-04-19,家居,西南,1483.5,4
2026-04-19,食品,华中,1657.18,7
2026-04-19,食品,华东,1433.59,4
2026-04-19,服饰,华南,4730.59,13
2026-04-20,家居,华中,3039.23,14
2026-04-20,食品,西南,2614.17,8
2026-04-21,家居,华中,2693.97,11
2026-04-21,美妆,华北,2753.37,7
2026-04-21,食品,华北,2497.28,12
2026-04-22,食品,华中,1316.52,6
2026-04-22,家居,华北,2569.09,11
2026-04-22,服饰,西南,3657.17,13
2026-04-23,数码,华北,3529.44,16
2026-04-23,数码,西南,5884.49,30
2026-04-24,美妆,西南,2111.55,5
2026-04-24,服饰,华东,2961.54,8
2026-04-24,美妆,华中,1716.49,6
2026-04-25,家居,华东,4325.9,22
2026-04-25,服饰,华北,3449.58,12
2026-04-25,食品,华北,2841.48,8
2026-04-25,食品,西南,2699.27,7
2026-04-26,食品,华中,2559.64,6
2026-04-26,食品,华中,3584.04,12
2026-04-26,美妆,华中,1692.9,8
2026-04-27,家居,西南,2787.79,7
2026-04-27,美妆,华南,1202.52,5
2026-04-27,服饰,华南,3173.23,8
2026-04-28,服饰,华北,3953.32,11
2026-04-28,服饰,华东,3830.35,18
2026-04-28,食品,西南,2724.61,6
2026-04-29,美妆,华北,2186.05,5
